"Run Date: 06:14:21	Run Time: 15:18:52	",,,,,
   Y,MeasSpotIn,5.0032,0,0,5.0072
Form,MeasSpotIn,0,0,0,0.0076
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1748
   X,MeasSpotIn,-63.0447,0,0,-63.0385
   Y,MeasSpotIn,-0.0001,0,0,-0.0019
Form,MeasSpotIn,0,0,0,0.0091
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1656
   X,MeasSpotIn,-63.0447,0,0,-63.0501
   Y,MeasSpotIn,-5.0033,0,0,-4.9985
Form,MeasSpotIn,0,0,0,0.0106
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1554
   X,MeasSpotIn,-63.0447,0,0,-63.0461
   Y,MeasSpotIn,-10.0066,0,0,-10.0055
Form,MeasSpotIn,0,0,0,0.0119
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1657
   X,MeasSpotIn,-63.0447,0,0,-63.0503
   Y,MeasSpotIn,-15.0098,0,0,-15.0175
Form,MeasSpotIn,0,0,0,0.0116
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1534
   X,MeasSpotIn,-61.0433,0,0,-61.043
   Y,MeasSpotIn,-17.0111,0,0,-17.0117
Form,MeasSpotIn,0,0,0,0.0099
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1696
   X,MeasSpotIn,-59.0419,0,0,-59.0472
   Y,MeasSpotIn,-19.0124,0,0,-19.0116
Form,MeasSpotIn,0,0,0,0.012
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1473
   X,MeasSpotIn,-57.0404,0,0,-57.0538
   Y,MeasSpotIn,-21.0137,0,0,-21.0073
Form,MeasSpotIn,0,0,0,0.0098
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1603
   X,MeasSpotIn,-45.0319,0,0,-45.044
   Y,MeasSpotIn,-21.0137,0,0,-21.018
Form,MeasSpotIn,0,0,0,0.0097
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1698
   X,MeasSpotIn,-35.0248,0,0,-35.0374
   Y,MeasSpotIn,-21.0137,0,0,-21.0145
Form,MeasSpotIn,0,0,0,0.0109
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1689
   X,MeasSpotIn,-25.0177,0,0,-25.0206
   Y,MeasSpotIn,-21.0137,0,0,-21.0232
Form,MeasSpotIn,0,0,0,0.0098
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1659
   X,MeasSpotIn,-15.0106,0,0,-15.016
   Y,MeasSpotIn,-21.0137,0,0,-21.0233
Form,MeasSpotIn,0,0,0,0.0117
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1709
   X,MeasSpotIn,-5.0035,0,0,-5.0006
   Y,MeasSpotIn,-21.0137,0,0,-21.0139
Form,MeasSpotIn,0,0,0,0.012
Diam,MeasSpotIn,0.163,0.127,-0.127,0.1489
   X,MeasSpotIn,5.0036,0,0,5.0015
   Y,MeasSpotIn,-21.0137,0,0,-21.0131
Form,MeasSpotIn,0,0,0,0.0107
